asset_id,character_name,category,repository_path,file_name,file_hash_sha256,first_git_commit,first_commit_date,public_release_date,creator,ai_tool_used,human_contribution_summary,based_on_third_party_ip,registration_candidate,notes
"ip-001","기본오이","primary-character","images/characters/cucumber.png","cucumber.png","458136b776e9d7d022a24bb0eec666c83d4a57e8ead1cf5c55a47cd457e0d735","e5f305610efd776ff0d527a57539faf57915cc96","2026-04-07T08:04:24+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","1차 후보","서비스 코드 char-cucumber; 대표 파일 후보"
"ip-002","오이소년","primary-character","images/characters/cucumberboy.png","cucumberboy.png","929500a1193159a8722c93bce21d08fefc62f2325ac187552504a5c3add0c603","8d54b21d9c64d6547ad8cc5ffa373ce1221b5256","2026-04-20T20:06:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","1차 후보","서비스 코드 char-cucumber-boy; 대표 파일 후보"
"ip-003","오이소녀","primary-character","images/characters/cucumbergirl.png","cucumbergirl.png","c1f6a618f97a368b5f55fdfc2ce584b52a75ee85500153913094823a5ffd0666","18a725e510dc6962da314cc54be31fa68bcd5edb","2026-04-13T13:41:24+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","1차 후보","현재 경로 대표 후보; 이전 images/skins/cucumbergirl.png 계보는 6612665부터 확인"
"ip-004","기본오이 새싹 단계","game-stage-variant","games/cucumber-grow/assets/images/cucumber-baby.png","cucumber-baby.png","960d587c7b8d4dd5f1a84b83a05589d3d93df7b7ed7719c0fd40a8104d7af05f","08dbcbb8b57915cc20ea5667c6a9a7aa36241de1","2026-07-28T17:23:36+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이키우기 새싹 단계; 기본오이와의 실제 제작 계보는 소유자 확인 필요"
"ip-005","기본오이 애기 단계","game-stage-variant","games/cucumber-grow/assets/images/cucumber-boy.png","cucumber-boy.png","69983463e400dcc9e42e758edf23d0566af4763632229807d0d6f8075b3ea7f2","08dbcbb8b57915cc20ea5667c6a9a7aa36241de1","2026-07-28T17:23:36+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이키우기 애기오이 단계; 사람형 오이소년과 다른 그림"
"ip-006","기본오이 어른 단계","game-stage-variant","games/cucumber-grow/assets/images/cucumber-adult.png","cucumber-adult.png","c5d5b6de20ddda071ce372e8262841a71495b6ec562e682398611a3a6c8f7155","a9c112d80f2fde03ee8f47457169548bb545e10d","2026-07-31T21:13:22+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","오이키우기 현재 어른오이 단계"
"ip-007","기본오이","distribution-copy","games/cucumber-grow/assets/images/cucumber.png","cucumber.png","458136b776e9d7d022a24bb0eec666c83d4a57e8ead1cf5c55a47cd457e0d735","69a456008833babab3e1e5f4f759dd24b5f0e30b","2026-07-28T15:16:22+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","아니오(동일본)","images/characters/cucumber.png와 SHA-256 동일; 게임 README상 레거시 미사용"
"ip-008","브로콜리","follow-up-character","images/characters/brocolli.png","brocolli.png","234a3b4c4a9bfc3d17b1dce45dc5edd997133abb59d78ab42850d20c9bca6e44","54e5b20f1e0faabe383d5e31d27284c815aa5036","2026-07-24T21:53:04+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토","파일명 철자는 brocolli"
"ip-009","계란감자","follow-up-character","images/characters/eggpotato.png","eggpotato.png","08bc039fb00d8056d24f0587f03569161046e3a03e01fd59a5ecd85f3de72668","8d54b21d9c64d6547ad8cc5ffa373ce1221b5256","2026-04-20T20:06:21+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토","서비스 후속 캐릭터"
"ip-010","아보카도","follow-up-character","images/characters/fat-avocado.png","fat-avocado.png","506bdb561a4a912560f2947500dc5832d53ca2ef30af4335c2e72117394b2b03","ca4ee8d0a4b2b3b36c5993e110640cf87cc67f6d","2026-04-11T15:49:43+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토","서비스 후속 캐릭터"
"ip-011","구운계란","follow-up-character","images/characters/grilled-egg.png","grilled-egg.png","2cdafffebf26b48308b39753c8574aec1ff6988488a005ed9e045fec6c81dcab","ca4ee8d0a4b2b3b36c5993e110640cf87cc67f6d","2026-04-11T15:49:43+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토","서비스 후속 캐릭터"
"ip-012","테토당근","follow-up-character","images/characters/teto-carrot.png","teto-carrot.png","eebd8682d098855e1474e72a3dde2f485725e7fe0bfe47f3ac630e4ad0425d27","ee5dbfc264a411c7e3bb92dbf23d36561a4dd7cf","2026-04-07T08:26:59+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토","서비스 후속 캐릭터"
"ip-013","토마토","follow-up-character","images/characters/tomato.png","tomato.png","35eaa6de156703764968873c5f9a3f8924d4f84410f59f7b25425f855444fe57","54e5b20f1e0faabe383d5e31d27284c815aa5036","2026-07-24T21:53:04+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","후속 검토","서비스 후속 캐릭터"
"ip-014","아보카도","character-skin","images/skins/avocado-cafe.png","avocado-cafe.png","76bc900ff293c79da390fe9d0904eb613202581395ed967f4d5e43db3cc0db20","09171a650be2aa247fdc35c846f0bd1a596b4547","2026-04-21T22:23:46+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","아보카도 카페 스킨"
"ip-015","기본오이","character-skin","images/skins/cucumber-owner.png","cucumber-owner.png","df929532ac2b6039230857fc984474bb48adb4a86d4b0f4313a8c13f6d7d5fff","781a9983c18ae95c77e4f784d2ab9ad44b4f21c9","2026-04-15T20:10:54+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","기본오이 파생 스킨"
"ip-016","기본오이","character-skin","images/skins/cucumber-soldier.png","cucumber-soldier.png","a28f81a83c3fa30ac4db11a153f4298005fc4a1a02c6d74069da29cc6901ef48","09171a650be2aa247fdc35c846f0bd1a596b4547","2026-04-21T22:23:46+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","서비스 코드 char-cucumber-soldier"
"ip-017","오이소년","character-skin","images/skins/cucumberboy_police.png","cucumberboy_police.png","87edede574c45f75a201b351f104fe5214137d35582e2ad56592d6ed85a3f0b1","2cc31183b70e00c57195607eb299b6d1351ded48","2026-06-23T18:24:01+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","서비스 코드 char-cucumber-boy-police"
"ip-018","오이소녀","character-skin","images/skins/cucumbergirl-police.png","cucumbergirl-police.png","6c649f23992f261d95a33df38d45d3667d308c3fb8d0c84a2e38cf93df22d3d5","25b0b3ed684fa4b4cdab5a1b4cfece32ee4eb1c9","2026-04-13T15:02:02+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","서비스 코드 char-cucumber-girl-police"
"ip-019","계란감자","character-skin","images/skins/eggpotato-police.png","eggpotato-police.png","5c34c8c4d21343ce96a987141a1c5028e8db6522985c5c054f875e6d2dac15ce","41bbf41149b99ae2bcf0ca8ea5132f8843cb5422","2026-04-28T22:16:25+09:00","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","소유자 확인 필요","확인된 표시 없음","파생본 검토","계란감자 경찰 스킨"
