mark_id,mark_text,mark_type,repository_path,usage_location,usage_context,user_visible,current_status,related_service,first_git_commit,first_commit_date,last_git_commit,last_commit_date,file_hash_sha256,evidence_limitations,notes
"TM-KO-001","말린오이","일반 문자","site.webmanifest","3행 short_name","PWA 짧은 앱 이름","예 - 설치 UI 조건부","현재 사용","웹/PWA","400928c4c99b840be899a2c3968a14c9f4be5f92","2026-05-19T09:24:48+09:00","400928c4c99b840be899a2c3968a14c9f4be5f92","2026-05-19T09:24:48+09:00","NOT_APPLICABLE","Git 기록은 최초 상업적 사용일이나 공개일이 아님; 실제 설치·운영은 OWNER_INPUT_REQUIRED","manifest name은 말린오이닷컴"
"TM-KO-002","말린오이","일반 문자","app-calendar.html","9행 title; 32행 apple-mobile-web-app-title; 64-67행 화면 제목","말린오이 캘린더 페이지·앱 이름","예","현재 사용","캘린더 웹","155e232a89ead62e1750e8a68ebc01ce99eda153","2026-05-20T22:52:19+09:00","155e232a89ead62e1750e8a68ebc01ce99eda153","2026-05-20T22:52:19+09:00","NOT_APPLICABLE","현재 코드상 노출; 실제 배포·접속 시작일은 OWNER_INPUT_REQUIRED","캘린더 진입 페이지"
"TM-KO-003","말린오이","일반 문자","capacitor.config.json","3행 appName","말린오이 캘린더 네이티브 앱 이름","예 - 설치 앱 조건부","확인 필요","캘린더 앱","155e232a89ead62e1750e8a68ebc01ce99eda153","2026-05-20T22:52:19+09:00","155e232a89ead62e1750e8a68ebc01ce99eda153","2026-05-20T22:52:19+09:00","NOT_APPLICABLE","앱스토어 출시·테스트 배포 여부는 OWNER_INPUT_REQUIRED","앱 설정의 사용자 표시명"
"TM-KO-004","말린오이","일반 문자","android/app/src/main/res/values/strings.xml","3-15행 app_name과 위젯 이름","Android 캘린더 앱·위젯 표시명","예 - 설치 앱 조건부","확인 필요","캘린더 Android 앱","155e232a89ead62e1750e8a68ebc01ce99eda153","2026-05-20T22:52:19+09:00","155e232a89ead62e1750e8a68ebc01ce99eda153","2026-05-20T22:52:19+09:00","NOT_APPLICABLE","실제 빌드·배포·설치 사실은 OWNER_INPUT_REQUIRED","자기개발·업무·이벤트 위젯명 포함"
"TM-KO-005","말린오이","일반 문자","ios/App/App/Info.plist","10행 CFBundleDisplayName","iOS 캘린더 앱 표시명","예 - 설치 앱 조건부","확인 필요","캘린더 iOS 앱","155e232a89ead62e1750e8a68ebc01ce99eda153","2026-05-20T22:52:19+09:00","155e232a89ead62e1750e8a68ebc01ce99eda153","2026-05-20T22:52:19+09:00","NOT_APPLICABLE","실제 빌드·배포·설치 사실은 OWNER_INPUT_REQUIRED","CFBundleDisplayName"
"TM-KO-006","말린오이","일반 문자","store.html","63행 store hero title","말린오이 상점 화면 제목","예","현재 사용","사이트 내부 상점","9988266713f269989ff0ae15518b5fe454bfb663","2026-04-01T16:57:51+09:00","9988266713f269989ff0ae15518b5fe454bfb663","2026-04-01T16:57:51+09:00","NOT_APPLICABLE","실제 판매·주문·결제 발생은 OWNER_INPUT_REQUIRED","상점 서비스 표시"
"TM-KO-007","말린오이","일반 문자","assets/js/modules/store-data.js","69; 134; 1372-1384행","lofi 말린오이 BGM 이름·설명","예 - 상점 렌더링 시","현재 사용","BGM·사이트 내부 아이템","93c087d0844bb783fdf1ea140fa6d4e3f94d5153","2026-04-19T09:21:12+09:00","09171a650be2aa247fdc35c846f0bd1a596b4547","2026-04-21T22:23:46+09:00","NOT_APPLICABLE","실제 공개·판매·재생 기록은 OWNER_INPUT_REQUIRED","인벤토리 추가·장착 후 재생 설명; 다운로드 상품으로 단정하지 않음"
"TM-KO-008","말린오이","일반 문자","assets/js/modules/store-data.js","1565-1574행","기본 말린오이 이모티콘팩 이름·설명","예 - 상점 렌더링 시","현재 사용","이모티콘·사이트 내부 아이템","9988266713f269989ff0ae15518b5fe454bfb663","2026-04-01T16:57:51+09:00","9988266713f269989ff0ae15518b5fe454bfb663","2026-04-01T16:57:51+09:00","NOT_APPLICABLE","실제 배포·수령 기록은 OWNER_INPUT_REQUIRED","가입 후 무료 사용 설명이 코드에 존재"
"TM-KO-009","말린오이","일반 문자","assets/js/modules/store-data.js","502; 538; 1232-1243행","말린오이테마 하트 캐릭터 효과","예 - 상점 렌더링 시","현재 사용","프로필 캐릭터 효과","d8ea37aad28ae963534b2feabb66c55a23511dc2","2026-04-24T22:06:29+09:00","d8ea37aad28ae963534b2feabb66c55a23511dc2","2026-04-24T22:06:29+09:00","NOT_APPLICABLE","실제 구매·장착 기록은 OWNER_INPUT_REQUIRED","사이트 내부 효과로 기술됨"
"TM-KO-010","말린오이","일반 문자","assets/js/modules/store-data.js","933; 970-980행","말린오이 테마 빛나는 테두리","예 - 상점 렌더링 시","현재 사용","프로필 꾸미기","9867f936a74342a5fe11e9f2c1ebe172d1b13f28","2026-07-28T20:45:07+09:00","9867f936a74342a5fe11e9f2c1ebe172d1b13f28","2026-07-28T20:45:07+09:00","NOT_APPLICABLE","실제 구매·장착 기록은 OWNER_INPUT_REQUIRED","사이트 내부 프로필 테두리"
"TM-KO-011","말린오이","일반 문자","assets/js/modules/store-data.js","1750-1752행","말린오이캐릭터들의 집 프로필 배경 설명","예 - 상점 렌더링 시","현재 사용","프로필 배경","13e155b9c727bd65a75234640435b27e3a312ef2","2026-07-27T19:30:34+09:00","13e155b9c727bd65a75234640435b27e3a312ef2","2026-07-27T19:30:34+09:00","NOT_APPLICABLE","실제 구매·장착 기록은 OWNER_INPUT_REQUIRED","사이트 내부 프로필카드 배경"
"TM-KO-012","말린오이","일반 문자","games/cucumber-grow/index.html","17행 title; 22행 aria-label; 63행 alt; 190행 지원; 242행 footer","말린오이: 오이키우기 웹 게임명·UI","예","현재 사용","오이키우기 웹 게임","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","NOT_APPLICABLE","실제 공개 URL·이용 기록은 OWNER_INPUT_REQUIRED","게임 UI 직접 노출"
"TM-KO-013","말린오이","일반 문자","games/cucumber-grow/js/native-bridge.js","112행 share text","오이키우기 백업 OS 공유 문구","예 - 공유 실행 시","확인 필요","오이키우기 공유 기능","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","NOT_APPLICABLE","네이티브 실행·배포 여부는 OWNER_INPUT_REQUIRED","브랜드가 포함된 확인 가능한 공유 문구"
"TM-KO-014","말린오이","일반 문자","apps/cucumber-grow-mobile/capacitor.config.json","3행 appName","말린오이: 오이키우기 모바일 앱 이름","예 - 설치 앱 조건부","확인 필요","오이키우기 모바일 게임","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","NOT_APPLICABLE","개발 ID 사용; 출시 여부는 OWNER_INPUT_REQUIRED","모바일 앱 공통 설정"
"TM-KO-015","말린오이","일반 문자","apps/cucumber-grow-mobile/android/app/src/main/res/values/strings.xml","3-4행 app_name과 title_activity_main","Android 오이키우기 앱 표시명","예 - 설치 앱 조건부","확인 필요","오이키우기 Android 게임","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","NOT_APPLICABLE","실제 빌드·배포·설치 사실은 OWNER_INPUT_REQUIRED","개발용 applicationId 사용"
"TM-KO-016","말린오이","일반 문자","apps/cucumber-grow-mobile/ios/App/App/Info.plist","10행 CFBundleDisplayName","iOS 오이키우기 앱 표시명","예 - 설치 앱 조건부","확인 필요","오이키우기 iOS 게임","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","7b03812b52474f1ddbc0910c85cd77c36a4786b2","2026-08-03T15:54:50+09:00","NOT_APPLICABLE","실제 빌드·배포·설치 사실은 OWNER_INPUT_REQUIRED","개발용 bundle ID 사용"
"TM-KO-017","말린오이","일반 문자","mallin-plus.html","57-108행","앱·게임 제작 주체 및 말린오이 캘린더 소개","예","현재 사용","앱·게임 소개 허브","1a3bab9058eb425934b29892ee3aaf448672e673","2026-07-26T06:55:51+09:00","1a3bab9058eb425934b29892ee3aaf448672e673","2026-07-26T06:55:51+09:00","NOT_APPLICABLE","실제 제작·출시·운영 시점은 OWNER_INPUT_REQUIRED","운영자·브랜드 표시 성격"
"TM-KO-018","말린오이","일반 문자","privacy.html","60-61; 157; 188행","말린오이 캘린더 앱 및 사이트 운영 설명","예","현재 사용","웹사이트·캘린더","133bfa2de6017cbcb9890b325a8517421ea94e60","2026-05-23T16:26:27+09:00","133bfa2de6017cbcb9890b325a8517421ea94e60","2026-05-23T16:26:27+09:00","NOT_APPLICABLE","실제 서비스 개시일은 OWNER_INPUT_REQUIRED","개인정보처리방침의 서비스명"
"TM-KO-019","말린오이","일반 문자","supabase-SQLEditor/99_all_backup.sql","5675행 외 다수","SQL 백업 속 디지털 상품명","아니오","과거 사용","데이터베이스 백업","e12bd116fb4ae20fc4a453fe9dd440ae29c64a6d","2026-04-02T21:18:25+09:00","a36ec655b51f45299bb169850acbf422a945f05b","2026-07-25T23:59:58+09:00","NOT_APPLICABLE","백업 파일이며 현재 실행 스키마·운영 사실을 증명하지 않음","완료 보고의 실제 사용처 수에서 제외"
"TM-DOTCOM-001","말린오이닷컴","일반 문자","index.html","6행 title; 31행 apple-mobile-web-app-title","사이트 홈 페이지 제목·앱 제목","예","현재 사용","웹사이트","c6990811d6ae1d922b58e4bd7dc57afbfbfdbbb5","2026-02-12T09:58:34+09:00","c6990811d6ae1d922b58e4bd7dc57afbfbfdbbb5","2026-02-12T09:58:34+09:00","NOT_APPLICABLE","Git 기록은 최초 공개·운영일이 아님; 실제 개시일은 OWNER_INPUT_REQUIRED","초기 저장소 커밋부터 확인"
